,cv_accuracy,max_depth,min_samples_leaf,min_samples_split,test_accuracy
0,0.8074014519938864,1,2,2,0.8083333333333333
1,0.8074014519938864,1,4,2,0.8083333333333333
2,0.8074014519938864,1,6,2,0.8083333333333333
3,0.8074014519938864,1,8,2,0.8083333333333333
4,0.8074014519938864,1,10,2,0.8083333333333333
5,0.8074014519938864,1,2,4,0.8083333333333333
6,0.8074014519938864,1,4,4,0.8083333333333333
7,0.8074014519938864,1,6,4,0.8083333333333333
8,0.8074014519938864,1,8,4,0.8083333333333333
9,0.8074014519938864,1,10,4,0.8083333333333333
10,0.8074014519938864,1,2,6,0.8083333333333333
11,0.8074014519938864,1,4,6,0.8083333333333333
12,0.8074014519938864,1,6,6,0.8083333333333333
13,0.8074014519938864,1,8,6,0.8083333333333333
14,0.8074014519938864,1,10,6,0.8083333333333333
15,0.8074014519938864,1,2,8,0.8083333333333333
16,0.8074014519938864,1,4,8,0.8083333333333333
17,0.8074014519938864,1,6,8,0.8083333333333333
18,0.8074014519938864,1,8,8,0.8083333333333333
19,0.8074014519938864,1,10,8,0.8083333333333333
20,0.8074014519938864,1,2,10,0.8083333333333333
21,0.8074014519938864,1,4,10,0.8083333333333333
22,0.8074014519938864,1,6,10,0.8083333333333333
23,0.8074014519938864,1,8,10,0.8083333333333333
24,0.8074014519938864,1,10,10,0.8083333333333333
25,0.8441537446158123,2,2,2,0.8423333333333334
26,0.8441537446158123,2,4,2,0.8423333333333334
27,0.8442370779491455,2,6,2,0.8423333333333334
28,0.8442370779491455,2,8,2,0.8423333333333334
29,0.8442370779491455,2,10,2,0.8423333333333334
30,0.8441537446158123,2,2,4,0.8423333333333334
31,0.8441537446158123,2,4,4,0.8423333333333334
32,0.8442370779491455,2,6,4,0.8423333333333334
33,0.8442370779491455,2,8,4,0.8423333333333334
34,0.8442370779491455,2,10,4,0.8423333333333334
35,0.8441537446158123,2,2,6,0.8423333333333334
36,0.8441537446158123,2,4,6,0.8423333333333334
37,0.8442370779491455,2,6,6,0.8423333333333334
38,0.8442370779491455,2,8,6,0.8423333333333334
39,0.8442370779491455,2,10,6,0.8423333333333334
40,0.8441537446158123,2,2,8,0.8423333333333334
41,0.8441537446158123,2,4,8,0.8423333333333334
42,0.8442370779491455,2,6,8,0.8423333333333334
43,0.8442370779491455,2,8,8,0.8423333333333334
44,0.8442370779491455,2,10,8,0.8423333333333334
45,0.8441537446158123,2,2,10,0.8423333333333334
46,0.8441537446158123,2,4,10,0.8423333333333334
47,0.8442370779491455,2,6,10,0.8423333333333334
48,0.8442370779491455,2,8,10,0.8423333333333334
49,0.8442370779491455,2,10,10,0.8423333333333334
50,0.9244934000277893,3,2,2,0.927
51,0.9244934000277893,3,4,2,0.927
52,0.9240765944143394,3,6,2,0.926
53,0.924993261081006,3,8,2,0.926
54,0.9253267680978186,3,10,2,0.9263333333333333
55,0.9244934000277893,3,2,4,0.927
56,0.9244934000277893,3,4,4,0.927
57,0.9240765944143394,3,6,4,0.926
58,0.924993261081006,3,8,4,0.926
59,0.9253267680978186,3,10,4,0.9263333333333333
60,0.9244934000277893,3,2,6,0.927
61,0.9244934000277893,3,4,6,0.927
62,0.9240765944143394,3,6,6,0.926
63,0.924993261081006,3,8,6,0.926
64,0.9253267680978186,3,10,6,0.9263333333333333
65,0.9244934000277893,3,2,8,0.927
66,0.9244934000277893,3,4,8,0.927
67,0.9240765944143394,3,6,8,0.926
68,0.924993261081006,3,8,8,0.926
69,0.9253267680978186,3,10,8,0.9263333333333333
70,0.9244934000277893,3,2,10,0.927
71,0.9244934000277893,3,4,10,0.927
72,0.9240765944143394,3,6,10,0.926
73,0.924993261081006,3,8,10,0.926
74,0.9253267680978186,3,10,10,0.9263333333333333
75,0.9491623593163817,4,2,2,0.9526666666666667
76,0.9494958315964986,4,4,2,0.9546666666666667
77,0.9499124287897734,4,6,2,0.9543333333333334
78,0.9488290607197444,4,8,2,0.9546666666666667
79,0.9486624635264693,4,10,2,0.9526666666666667
80,0.9491623593163817,4,2,4,0.9526666666666667
81,0.9494958315964986,4,4,4,0.9546666666666667
82,0.9499124287897734,4,6,4,0.9543333333333334
83,0.9488290607197444,4,8,4,0.9546666666666667
84,0.9486624635264693,4,10,4,0.9526666666666667
85,0.9494123593163819,4,2,6,0.9526666666666667
86,0.9494958315964986,4,4,6,0.9546666666666667
87,0.9499124287897734,4,6,6,0.9543333333333334
88,0.9488290607197444,4,8,6,0.9546666666666667
89,0.9486624635264693,4,10,6,0.9526666666666667
90,0.9493291649298319,4,2,8,0.9546666666666667
91,0.9494958315964986,4,4,8,0.9546666666666667
92,0.9499124287897734,4,6,8,0.9543333333333334
93,0.9488290607197444,4,8,8,0.9546666666666667
94,0.9486624635264693,4,10,8,0.9526666666666667
95,0.9499125329998611,4,2,10,0.9546666666666667
96,0.9500791996665277,4,4,10,0.9546666666666667
97,0.9499124287897734,4,6,10,0.9543333333333334
98,0.9488290607197444,4,8,10,0.9546666666666667
99,0.9486624635264693,4,10,10,0.9526666666666667
100,0.9634138529943032,5,2,2,0.9636666666666667
101,0.9641638529943032,5,4,2,0.9666666666666667
102,0.9636637835209114,5,6,2,0.965
103,0.9638303459774906,5,8,2,0.9646666666666667
104,0.9630803807141864,5,10,2,0.9633333333333334
105,0.9634138529943032,5,2,4,0.9636666666666667
106,0.9641638529943032,5,4,4,0.9666666666666667
107,0.9636637835209114,5,6,4,0.965
